,Annotator0_aut,Annotator0_rev,Annotator1_aut,Annotator1_rev,Review
0,18,0,16,0,admsci5030148
1,15,0,15,2,admsci6020005
2,11,0,11,0,agriculture12060868
3,9,0,10,0,agronomy12061433
4,27,2,28,2,ani12040482
5,2,2,1,2,antiox11040683
6,6,17,0,22,app12052642
7,18,0,17,3,atoms13060972
8,11,1,12,1,atoms3030433
9,6,3,1,1,atoms4010002
10,6,1,6,2,atoms4010010
11,15,2,13,3,atoms4020014
12,5,0,3,0,biomedicines10030600
13,16,1,16,2,biotech1101004
14,18,0,19,0,brainsci11121640
15,6,0,5,0,brainsci12060789
16,10,1,10,2,brainsci6010008
17,6,0,6,0,brainsci6010009
18,7,1,7,1,bs5040518
19,12,1,12,0,bs6010004
20,23,0,22,9,buildings12040417
21,4,0,3,0,cancers14040966
22,13,0,13,0,cancers14071773
23,12,10,12,2,cancers14122959
24,8,0,5,0,cancers14122960
25,5,2,5,0,cancers14122962
26,10,2,11,0,catal12030290
27,5,3,6,0,cells11010166
28,11,0,11,0,cosmetics2030248
29,11,2,11,1,economies3040150
30,11,2,11,1,economies4030013
31,12,0,10,1,electronics11050760
32,7,2,8,0,en15031006
33,21,0,21,0,fermentation8050212
34,18,0,19,0,gels8040212
35,4,1,3,3,genes13030404
36,45,4,47,0,geosciences12010037
37,13,0,13,0,healthcare10030476
38,15,0,15,0,healthcare10040723
39,28,3,28,3,horticulturae8050412
40,12,1,12,0,ijerph19127332
41,5,1,6,0,ijms2316696
42,4,0,4,0,ijms2316700
43,7,2,6,4,jcm11051247
